Version 2:CSV
Datum:,WGS-84
ZoneOffset:,-8.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Feet)","Depth (Feet)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.58857726,-150.04298394,8,19,2008,10,5,18,1e25,1e25,-20.600000,"SM",0.0195,1.8684,1.8684,2.699931,26,
T,,70.58889770,-150.04287715,8,19,2008,10,5,47,1e25,1e25,-20.600000,"SM",0.0223,1.8907,1.8907,2.765255,29,
T,,70.58906551,-150.04284664,8,19,2008,10,6,3,1e25,1e25,-20.600000,"SM",0.0116,1.9023,1.9023,2.613467,16,
T,,70.58927916,-150.04298394,8,19,2008,10,6,26,1e25,1e25,-20.600000,"SM",0.0151,1.9174,1.9174,2.362697,23,
T,,70.58949273,-150.04330438,8,19,2008,10,6,50,1e25,1e25,-20.600000,"SM",0.0165,1.9339,1.9339,2.473361,24,
T,,70.58975978,-150.04348752,8,19,2008,10,7,17,1e25,1e25,-20.600000,"SM",0.0189,1.9528,1.9528,2.523250,27,
T,,70.58991241,-150.04406738,8,19,2008,10,7,39,1e25,1e25,-20.600000,"SM",0.0170,1.9698,1.9698,2.779393,22,
T,,70.58994292,-150.04425044,8,19,2008,10,7,45,1e25,1e25,-20.600000,"SM",0.0047,1.9745,1.9745,2.821413,6,
T,,70.59008785,-150.04454037,8,19,2008,10,8,2,1e25,1e25,-20.600000,"SM",0.0120,1.9865,1.9865,2.546318,17,
T,,70.59015649,-150.04470818,8,19,2008,10,8,10,1e25,1e25,-20.600000,"SM",0.0061,1.9926,1.9926,2.749903,8,
T,,70.59043880,-150.04487607,8,19,2008,10,8,38,1e25,1e25,-20.600000,"SM",0.0199,2.0125,2.0125,2.556324,28,
T,,70.59069822,-150.04475403,8,19,2008,10,9,2,1e25,1e25,-20.600000,"SM",0.0181,2.0307,2.0307,2.721286,24,
T,,70.59100340,-150.04438774,8,19,2008,10,9,32,1e25,1e25,-20.600000,"SM",0.0227,2.0534,2.0534,2.724190,30,
T,,70.59105679,-150.04435723,8,19,2008,10,9,37,1e25,1e25,-20.600000,"SM",0.0038,2.0571,2.0571,2.703604,5,
T,,70.59127036,-150.04461665,8,19,2008,10,10,0,1e25,1e25,-20.600000,"SM",0.0159,2.0730,2.0730,2.490748,23,
T,,70.59158318,-150.04490658,8,19,2008,10,10,31,1e25,1e25,-20.600000,"SM",0.0226,2.0956,2.0956,2.626278,31,
T,,70.59184260,-150.04496760,8,19,2008,10,10,56,1e25,1e25,-20.600000,"SM",0.0180,2.1136,2.1136,2.588956,25,
T,,70.59214778,-150.04481505,8,19,2008,10,11,25,1e25,1e25,-20.600000,"SM",0.0214,2.1350,2.1350,2.653469,29,
T,,70.59218592,-150.04481505,8,19,2008,10,11,29,1e25,1e25,-20.600000,"SM",0.0026,2.1376,2.1376,2.371553,4,
T,,70.59246060,-150.04486081,8,19,2008,10,11,55,1e25,1e25,-20.600000,"SM",0.0190,2.1566,2.1566,2.631777,26,
T,,70.59275815,-150.04493709,8,19,2008,10,12,22,1e25,1e25,-20.600000,"SM",0.0206,2.1773,2.1773,2.751159,27,
T,,70.59307097,-150.04502862,8,19,2008,10,12,49,1e25,1e25,-20.600000,"SM",0.0217,2.1990,2.1990,2.895358,27,
T,,70.59338378,-150.04528804,8,19,2008,10,13,16,1e25,1e25,-20.600000,"SM",0.0224,2.2214,2.2214,2.989178,27,
T,,70.59366600,-150.04550169,8,19,2008,10,13,46,1e25,1e25,-20.600000,"SM",0.0201,2.2415,2.2415,2.412826,30,
T,,70.59400169,-150.04527278,8,19,2008,10,14,17,1e25,1e25,-20.600000,"SM",0.0238,2.2653,2.2653,2.761802,31,
T,,70.59434501,-150.04521176,8,19,2008,10,14,46,1e25,1e25,-20.600000,"SM",0.0238,2.2891,2.2891,2.949846,29,
T,,70.59463494,-150.04554746,8,19,2008,10,15,14,1e25,1e25,-20.600000,"SM",0.0215,2.3105,2.3105,2.759583,28,
T,,70.59488674,-150.04597468,8,19,2008,10,15,39,1e25,1e25,-20.600000,"SM",0.0200,2.3305,2.3305,2.875848,25,
T,,70.59512327,-150.04623410,8,19,2008,10,16,4,1e25,1e25,-20.600000,"SM",0.0174,2.3479,2.3479,2.504785,25,
T,,70.59513853,-150.04623410,8,19,2008,10,16,5,1e25,1e25,-20.600000,"SM",0.0011,2.3489,2.3489,3.794485,1,
T,,70.59515378,-150.04621885,8,19,2008,10,16,7,1e25,1e25,-20.600000,"SM",0.0011,2.3500,2.3500,1.999215,2,
