Version 2:CSV
Datum:,WGS-84
ZoneOffset:,0.000000
"Type","Name","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Comment","Symbol#","SymbolColor","SymbolDisplay","Altitude (Meters)","Depth (Meters)","Temp Deg C","Ref Dist","Ref units"
W,001,70.54788667,-149.21208833,7,21,2008,11,0,0,21-JUL-08 11:00,18,Default Color,S+N,1.327515,1e25,1e25,0.0,feet
W,002,70.53270833,-149.08479333,7,21,2008,11,32,0,21-JUL-08 11:32,18,Default Color,S+N,0.606567,1e25,1e25,3.112,S mi
W,003,70.48795000,-148.70027000,7,21,2008,13,6,0,21-JUL-08 13:06,18,Default Color,S+N,1.567871,1e25,1e25,12.500,S mi
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Meters)","Depth (Meters)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.54256500,-149.17130500,7,21,2008,19,10,38,-1.304688,1e25,1e25,"SM",0.0164,2.2500,2.2500,5.889858,10,
T,,70.54247833,-149.17059833,7,21,2008,19,10,48,-1.304688,1e25,1e25,"SM",0.0173,2.2673,2.2673,6.239374,10,
T,,70.54241667,-149.17002000,7,21,2008,19,10,58,-3.227295,1e25,1e25,"SM",0.0140,2.2813,2.2813,5.031355,10,
T,,70.54234167,-149.16926667,7,21,2008,19,11,8,-1.785278,1e25,1e25,"SM",0.0181,2.2994,2.2994,6.514661,10,
T,,70.54228167,-149.16849000,7,21,2008,19,11,18,-2.746704,1e25,1e25,"SM",0.0183,2.3177,2.3177,6.605989,10,
T,,70.54222333,-149.16790000,7,21,2008,19,11,28,-3.227295,1e25,1e25,"SM",0.0142,2.3319,2.3319,5.099340,10,
T,,70.54215500,-149.16713833,7,21,2008,19,11,38,-3.227295,1e25,1e25,"SM",0.0182,2.3500,2.3500,6.535831,10,
T,,70.54206167,-149.16640500,7,21,2008,19,11,48,-2.746704,1e25,1e25,"SM",0.0181,2.3681,2.3681,6.504607,10,
T,,70.54195667,-149.16568000,7,21,2008,19,11,58,-2.746704,1e25,1e25,"SM",0.0182,2.3863,2.3863,6.550384,10,
T,,70.54185167,-149.16496500,7,21,2008,19,12,8,-1.304688,1e25,1e25,"SM",0.0180,2.4043,2.4043,6.474510,10,
T,,70.54175667,-149.16439500,7,21,2008,19,12,18,-2.265991,1e25,1e25,"SM",0.0147,2.4190,2.4190,5.281095,10,
T,,70.54164500,-149.16370500,7,21,2008,19,12,28,-3.227295,1e25,1e25,"SM",0.0177,2.4366,2.4366,6.356264,10,
T,,70.54150833,-149.16297000,7,21,2008,19,12,38,-2.746704,1e25,1e25,"SM",0.0194,2.4560,2.4560,6.974684,10,
T,,70.54137500,-149.16236000,7,21,2008,19,12,48,-1.785278,1e25,1e25,"SM",0.0168,2.4728,2.4728,6.045390,10,
T,,70.54128000,-149.16167333,7,21,2008,19,12,58,-1.785278,1e25,1e25,"SM",0.0171,2.4899,2.4899,6.160939,10,
T,,70.54120333,-149.16097667,7,21,2008,19,13,8,-0.824097,1e25,1e25,"SM",0.0169,2.5068,2.5068,6.079479,10,
T,,70.54112833,-149.16026667,7,21,2008,19,13,18,-0.824097,1e25,1e25,"SM",0.0171,2.5239,2.5239,6.171845,10,
T,,70.54104667,-149.15956667,7,21,2008,19,13,28,-1.785278,1e25,1e25,"SM",0.0171,2.5410,2.5410,6.145732,10,
T,,70.54095667,-149.15886333,7,21,2008,19,13,38,-1.785278,1e25,1e25,"SM",0.0173,2.5583,2.5583,6.243122,10,
T,,70.54087333,-149.15815500,7,21,2008,19,13,48,-1.785278,1e25,1e25,"SM",0.0173,2.5756,2.5756,6.224673,10,
T,,70.54080000,-149.15735333,7,21,2008,19,13,58,-2.265991,1e25,1e25,"SM",0.0191,2.5948,2.5948,6.888710,10,
T,,70.54074000,-149.15662833,7,21,2008,19,14,8,-3.227295,1e25,1e25,"SM",0.0172,2.6120,2.6120,6.190164,10,
T,,70.54068000,-149.15596667,7,21,2008,19,14,18,-3.227295,1e25,1e25,"SM",0.0158,2.6278,2.6278,5.682271,10,
T,,70.54061500,-149.15526500,7,21,2008,19,14,28,-2.746704,1e25,1e25,"SM",0.0168,2.6445,2.6445,6.034859,10,
T,,70.54054333,-149.15452167,7,21,2008,19,14,38,-2.265991,1e25,1e25,"SM",0.0178,2.6623,2.6623,6.412300,10,
T,,70.54045333,-149.15380833,7,21,2008,19,14,48,-3.227295,1e25,1e25,"SM",0.0176,2.6799,2.6799,6.320681,10,
T,,70.54036167,-149.15311000,7,21,2008,19,14,58,-3.227295,1e25,1e25,"SM",0.0173,2.6972,2.6972,6.219699,10,
T,,70.54027500,-149.15242500,7,21,2008,19,15,8,-3.707886,1e25,1e25,"SM",0.0169,2.7140,2.7140,6.071802,10,
T,,70.54020500,-149.15170500,7,21,2008,19,15,18,-3.227295,1e25,1e25,"SM",0.0173,2.7313,2.7313,6.215160,10,
T,,70.54015667,-149.15099500,7,21,2008,19,15,28,-3.227295,1e25,1e25,"SM",0.0167,2.7480,2.7480,6.005016,10,
T,,70.54014000,-149.15026500,7,21,2008,19,15,38,-2.265991,1e25,1e25,"SM",0.0168,2.7648,2.7648,6.063370,10,
T,,70.54014333,-149.14950333,7,21,2008,19,15,48,-1.785278,1e25,1e25,"SM",0.0175,2.7823,2.7823,6.312135,10,
T,,70.54014167,-149.14879000,7,21,2008,19,15,58,-1.304688,1e25,1e25,"SM",0.0164,2.7988,2.7988,5.911219,10,
T,,70.54013833,-149.14812333,7,21,2008,19,16,8,-1.304688,1e25,1e25,"SM",0.0153,2.8141,2.8141,5.524991,10,
T,,70.54008667,-149.14746167,7,21,2008,19,16,18,-4.188599,1e25,1e25,"SM",0.0156,2.8298,2.8298,5.631540,10,
T,,70.54005667,-149.14676833,7,21,2008,19,16,28,-4.669312,1e25,1e25,"SM",0.0161,2.8459,2.8459,5.793619,10,
T,,70.54004333,-149.14584000,7,21,2008,19,16,38,-3.227295,1e25,1e25,"SM",0.0214,2.8672,2.8672,7.699863,10,
T,,70.54002167,-149.14512667,7,21,2008,19,16,48,-1.785278,1e25,1e25,"SM",0.0165,2.8837,2.8837,5.935623,10,
T,,70.53997667,-149.14435500,7,21,2008,19,16,58,-2.265991,1e25,1e25,"SM",0.0180,2.9018,2.9018,6.491726,10,
T,,70.53993167,-149.14367833,7,21,2008,19,17,8,-5.149902,1e25,1e25,"SM",0.0159,2.9176,2.9176,5.717911,10,
