Version 2:CSV
Datum:,WGS-84
ZoneOffset:,-8.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Feet)","Depth (Feet)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.58988987,-150.04393034,8,19,2008,10,7,26,46.182467,1e25,1e25,"SM",0.0170,0.0220,3.0345,3.816000,16,
T,,70.59000897,-150.04448983,8,19,2008,10,7,46,20.950998,1e25,1e25,"SM",0.0153,0.0372,3.0498,2.746195,20,
T,,70.59050895,-150.04524160,8,19,2008,10,8,37,17.797115,1e25,1e25,"SM",0.0386,0.0758,3.0884,2.725970,51,
T,,70.59104808,-150.04525920,8,19,2008,10,9,32,17.797115,1e25,1e25,"SM",0.0373,0.1131,3.1257,2.438318,55,
T,,70.59115126,-150.04529977,8,19,2008,10,9,49,25.682024,1e25,1e25,"SM",0.0072,0.1203,3.1328,1.522531,17,
T,,70.59186825,-150.04578358,8,19,2008,10,11,6,27.259166,1e25,1e25,"SM",0.0508,0.1710,3.1836,2.373625,77,
T,,70.59194871,-150.04577192,8,19,2008,10,11,14,27.259166,1e25,1e25,"SM",0.0056,0.1766,3.1892,2.504752,8,
T,,70.59241441,-150.04548367,8,19,2008,10,11,55,24.104882,1e25,1e25,"SM",0.0329,0.2095,3.2220,2.884409,41,
T,,70.59291523,-150.04552608,8,19,2008,10,12,35,16.219973,1e25,1e25,"SM",0.0346,0.2441,3.2566,3.115525,40,
T,,70.59329149,-150.04574343,8,19,2008,10,13,7,16.219973,1e25,1e25,"SM",0.0265,0.2705,3.2831,2.978082,32,
T,,70.59361227,-150.04595976,8,19,2008,10,13,39,5.181580,1e25,1e25,"SM",0.0227,0.2933,3.3058,2.555225,32,
T,,70.59377354,-150.04581249,8,19,2008,10,13,57,3.604438,1e25,1e25,"SM",0.0116,0.3049,3.3175,2.328834,18,
T,,70.59416690,-150.04562415,8,19,2008,10,14,33,-1.126587,1e25,1e25,"SM",0.0275,0.3324,3.3450,2.752053,36,
T,,70.59449757,-150.04574494,8,19,2008,10,15,1,-5.857212,1e25,1e25,"SM",0.0230,0.3554,3.3680,2.959003,28,
T,,70.59475506,-150.04611039,8,19,2008,10,15,25,-4.280471,1e25,1e25,"SM",0.0197,0.3751,3.3877,2.950470,24,
T,,70.59504800,-150.04642303,8,19,2008,10,15,53,-5.857212,1e25,1e25,"SM",0.0215,0.3966,3.4092,2.761136,28,
T,,70.59553432,-150.04635422,8,19,2008,10,16,39,-10.588238,1e25,1e25,"SM",0.0336,0.4302,3.4428,2.632575,46,
T,,70.59590950,-150.04604274,8,19,2008,10,17,14,-5.857212,1e25,1e25,"SM",0.0269,0.4571,3.4697,2.765828,35,
T,,70.59626045,-150.04604853,8,19,2008,10,17,45,-2.703729,1e25,1e25,"SM",0.0242,0.4814,3.4939,2.815978,31,
T,,70.59651132,-150.04614048,8,19,2008,10,18,11,-4.280471,1e25,1e25,"SM",0.0175,0.4988,3.5114,2.417747,26,
T,,70.59680510,-150.04650811,8,19,2008,10,18,42,-13.742121,1e25,1e25,"SM",0.0220,0.5208,3.5334,2.552843,31,
T,,70.59682639,-150.04653652,8,19,2008,10,18,44,-12.164979,1e25,1e25,"SM",0.0016,0.5224,3.5350,2.896398,2,
T,,70.59705916,-150.04673433,8,19,2008,10,19,6,2.027697,1e25,1e25,"SM",0.0167,0.5391,3.5517,2.734562,22,
T,,70.59731070,-150.04680508,8,19,2008,10,19,30,2.027697,1e25,1e25,"SM",0.0175,0.5566,3.5692,2.618325,24,
T,,70.59765578,-150.04645731,8,19,2008,10,20,4,0.450955,1e25,1e25,"SM",0.0251,0.5817,3.5943,2.662267,34,
T,,70.59798234,-150.04617719,8,19,2008,10,20,42,3.604438,1e25,1e25,"SM",0.0235,0.6052,3.6178,2.222645,38,
T,,70.59830748,-150.04626143,8,19,2008,10,21,10,-2.703729,1e25,1e25,"SM",0.0225,0.6277,3.6403,2.898984,28,
T,,70.59831670,-150.04626897,8,19,2008,10,21,11,-2.703729,1e25,1e25,"SM",0.0007,0.6284,3.6410,2.376567,1,
T,,70.59851468,-150.04641507,8,19,2008,10,21,29,-2.703729,1e25,1e25,"SM",0.0141,0.6425,3.6551,2.816827,18,
T,,70.59875716,-150.04675898,8,19,2008,10,21,52,2.027697,1e25,1e25,"SM",0.0185,0.6610,3.6736,2.898875,23,
T,,70.59894634,-150.04716835,8,19,2008,10,22,13,2.027697,1e25,1e25,"SM",0.0161,0.6771,3.6897,2.759580,21,
T,,70.59911272,-150.04713558,8,19,2008,10,22,32,2.027697,1e25,1e25,"SM",0.0115,0.6886,3.7012,2.182810,19,
T,,70.59945052,-150.04718511,8,19,2008,10,23,3,3.604438,1e25,1e25,"SM",0.0234,0.7120,3.7246,2.713560,31,
T,,70.59974757,-150.04740866,8,19,2008,10,23,29,3.604438,1e25,1e25,"SM",0.0212,0.7331,3.7457,2.929295,26,
T,,70.59979820,-150.04748896,8,19,2008,10,23,34,2.027697,1e25,1e25,"SM",0.0040,0.7371,3.7497,2.846688,5,
T,,70.60004362,-150.04768434,8,19,2008,10,23,57,5.181580,1e25,1e25,"SM",0.0175,0.7546,3.7672,2.745375,23,
T,,70.60024747,-150.04778543,8,19,2008,10,24,16,3.604438,1e25,1e25,"SM",0.0143,0.7689,3.7815,2.704607,19,
T,,70.60055902,-150.04790554,8,19,2008,10,24,43,3.604438,1e25,1e25,"SM",0.0217,0.7906,3.8032,2.893624,27,
T,,70.60058165,-150.04791208,8,19,2008,10,24,45,2.027697,1e25,1e25,"SM",0.0016,0.7922,3.8048,2.827518,2,
T,,70.60063815,-150.04795223,8,19,2008,10,24,50,2.027697,1e25,1e25,"SM",0.0040,0.7962,3.8088,2.887660,5,
T,,70.60088466,-150.04795784,8,19,2008,10,25,12,6.758722,1e25,1e25,"SM",0.0170,0.8132,3.8258,2.787188,22,
T,,70.60099941,-150.04789707,8,19,2008,10,25,23,5.181580,1e25,1e25,"SM",0.0081,0.8213,3.8338,2.634565,11,
T,,70.60122262,-150.04800134,8,19,2008,10,25,44,2.027697,1e25,1e25,"SM",0.0156,0.8369,3.8495,2.675463,21,
