X,Y,LABEL,ATTR_1,ATTR_10,ATTR_11,ATTR_12,ATTR_13,ATTR_14,ATTR_15,ATTR_2,ATTR_3,ATTR_4,ATTR_5,ATTR_6,ATTR_7,ATTR_8,ATTR_9
865716.305,7855717.780,,7,SM,0.0162,3.3212,3.3212,5.820415,10,21,2008,19,21,8,2.540649,1.00E+25,1.00E+25
865742.625,7855714.554,,7,SM,0.0164,3.3376,3.3376,5.900761,10,21,2008,19,21,18,2.060059,1.00E+25,1.00E+25
865768.298,7855708.390,,7,SM,0.0163,3.3539,3.3539,5.874878,10,21,2008,19,21,28,1.579346,1.00E+25,1.00E+25
865796.972,7855704.229,,7,SM,0.0179,3.3718,3.3718,6.447879,10,21,2008,19,21,38,2.540649,1.00E+25,1.00E+25
865824.737,7855702.182,,7,SM,0.0172,3.389,3.389,6.194482,10,21,2008,19,21,48,2.060059,1.00E+25,1.00E+25
865848.912,7855697.473,,7,SM,0.0152,3.4043,3.4043,5.480648,10,21,2008,19,21,58,0.137451,1.00E+25,1.00E+25
865872.652,7855690.427,,7,SM,0.0153,3.4196,3.4196,5.510856,10,21,2008,19,22,8,-1.304688,1.00E+25,1.00E+25
865899.426,7855683.313,,7,SM,0.0171,3.4367,3.4367,6.164256,10,21,2008,19,22,18,-0.824097,1.00E+25,1.00E+25
865923.869,7855676.195,,7,SM,0.0157,3.4524,3.4524,5.665775,10,21,2008,19,22,28,-1.785278,1.00E+25,1.00E+25
865946.839,7855666.572,,7,SM,0.0154,3.4678,3.4678,5.54243,10,21,2008,19,22,38,-2.265991,1.00E+25,1.00E+25
865968.273,7855655.186,,7,SM,0.015,3.4828,3.4828,5.401777,10,21,2008,19,22,48,-2.265991,1.00E+25,1.00E+25
865992.376,7855644.804,,7,SM,0.0162,3.499,3.499,5.840113,10,21,2008,19,22,58,-1.785278,1.00E+25,1.00E+25
866017.428,7855634.768,,7,SM,0.0167,3.5157,3.5157,6.005838,10,21,2008,19,23,8,-3.227295,1.00E+25,1.00E+25
866043.436,7855628.097,,7,SM,0.0166,3.5323,3.5323,5.975064,10,21,2008,19,23,18,-3.227295,1.00E+25,1.00E+25
866068.615,7855620.346,,7,SM,0.0163,3.5486,3.5486,5.862805,10,21,2008,19,23,28,-4.188599,1.00E+25,1.00E+25
866093.394,7855611.209,,7,SM,0.0163,3.5649,3.5649,5.877227,10,21,2008,19,23,38,-4.188599,1.00E+25,1.00E+25
866118.349,7855599.837,,7,SM,0.017,3.5819,3.5819,6.103686,10,21,2008,19,23,48,-4.669312,1.00E+25,1.00E+25
866142.760,7855590.262,,7,SM,0.0162,3.5981,3.5981,5.835367,10,21,2008,19,23,58,-4.188599,1.00E+25,1.00E+25
866166.288,7855582.241,,7,SM,0.0154,3.6135,3.6135,5.531501,10,21,2008,19,24,8,-4.188599,1.00E+25,1.00E+25
866189.403,7855569.436,,7,SM,0.0163,3.6298,3.6298,5.881741,10,21,2008,19,24,18,-4.188599,1.00E+25,1.00E+25
866210.198,7855557.381,,7,SM,0.0149,3.6447,3.6447,5.349275,10,21,2008,19,24,28,-6.591919,1.00E+25,1.00E+25
866233.371,7855543.076,,7,SM,0.0168,3.6615,3.6615,6.061731,10,21,2008,19,24,38,-6.111206,1.00E+25,1.00E+25
866257.382,7855530.984,,7,SM,0.0166,3.6781,3.6781,5.982655,10,21,2008,19,24,48,-4.669312,1.00E+25,1.00E+25
866281.978,7855522.196,,7,SM,0.0161,3.6943,3.6943,5.812792,10,21,2008,19,24,58,-4.669312,1.00E+25,1.00E+25
866305.604,7855516.646,,7,SM,0.015,3.7093,3.7093,5.400437,10,21,2008,19,25,8,-6.591919,1.00E+25,1.00E+25
866331.031,7855508.938,,7,SM,0.0164,3.7257,3.7257,5.912644,10,21,2008,19,25,18,-5.630493,1.00E+25,1.00E+25
866355.968,7855501.527,,7,SM,0.0161,3.7418,3.7418,5.789378,10,21,2008,19,25,28,-4.669312,1.00E+25,1.00E+25
866381.796,7855494.829,,7,SM,0.0165,3.7583,3.7583,5.937561,10,21,2008,19,25,38,-5.630493,1.00E+25,1.00E+25
866408.269,7855488.804,,7,SM,0.0168,3.775,3.775,6.041497,10,21,2008,19,25,48,-5.630493,1.00E+25,1.00E+25
866436.313,7855486.244,,7,SM,0.0174,3.7925,3.7925,6.265694,10,21,2008,19,25,58,-6.111206,1.00E+25,1.00E+25
866462.331,7855482.597,,7,SM,0.0162,3.8087,3.8087,5.846246,10,21,2008,19,26,8,-8.514648,1.00E+25,1.00E+25
866487.185,7855478.382,,7,SM,0.0156,3.8243,3.8243,5.609533,10,21,2008,19,26,18,-5.630493,1.00E+25,1.00E+25
866512.190,7855473.248,,7,SM,0.0158,3.8401,3.8401,5.680337,10,21,2008,19,26,28,-5.630493,1.00E+25,1.00E+25
866540.082,7855471.987,,7,SM,0.0173,3.8573,3.8573,6.212698,10,21,2008,19,26,38,-4.669312,1.00E+25,1.00E+25
866567.514,7855469.706,,7,SM,0.017,3.8743,3.8743,6.124807,10,21,2008,19,26,48,-5.149902,1.00E+25,1.00E+25
866592.981,7855465.970,,7,SM,0.0159,3.8902,3.8902,5.727766,10,21,2008,19,26,58,-7.553101,1.00E+25,1.00E+25
