X,Y,,,,,,0,60641.1,,,,123.2091312,,
534643.9,7796154.1,,,,,,177.5000282,60726.1,,,,121.0999886,,
534644.9,7796154.1,,,,,,178.500028,60726.6,,,,121.0999887,,
534645.9,7796154.1,,,,,,179.6000278,60727.1,,,,121.0999888,,
534647,7796154.1,,,,,,180.6,60727.6,,,,121.1000166,,
534648,7796154.2,,,,,,181.6,60728.1,,,,121.2000165,,
534649,7796154.2,,,,,,182.7000274,60728.6,,,,121.0999891,,
534650.1,7796154.3,,,,,,183.8001088,60729.1,,,,121.0999076,,
534651.2,7796154.4,,,,,,184.8001082,60729.6,,,,121.0999081,,
534652.2,7796154.4,,,,,,185.9001076,60730.1,,,,121.0999087,,
534653.3,7796154.4,,,,,,186.900107,60730.6,,,,121.099893,,
534654.3,7796154.4,,,,,,188.0001064,60731.1,,,,121.0998936,,
534655.4,7796154.4,,,,,,189.0000265,60731.6,,,,121.0999897,,
534656.4,7796154.3,,,,,,190.0000263,60732.1,,,,121.0999898,,
534657.4,7796154.3,,,,,,191.1001047,60732.6,,,,121.0999114,,
534658.5,7796154.4,,,,,,192.1002343,60733.1,,,,121.0997817,,
534659.5,7796154.5,,,,,,193.2004141,60733.6,,,,121.0996018,,
534660.6,7796154.6,,,,,,194.2006437,60734.1,,,,121.0993722,,
534661.6,7796154.7,,,,,,195.30064,60734.6,,,,121.0993758,,
534662.7,7796154.7,,,,,,196.3004075,60735.1,,,,121.0996082,,
534663.7,7796154.6,,,,,,197.4004053,60735.6,,,,121.0996104,,
534664.8,7796154.6,,,,,,198.2004036,60736,,,,121.299659,,
534665.6,7796154.6,,,,,,198.2004036,60736,,,,122.3996588,,
534665.6,7796154.6,,,,,,198.4002268,60736.1,,,,123.1998354,,
534665.8,7796154.5,,,,,,199.5002256,60736.6,,,,123.0999139,,
534666.9,7796154.5,,,,,,200.500399,60737.1,,,,123.19974,,
534667.9,7796154.6,,,,,,201.6003968,60737.6,,,,123.0997418,,
534669,7796154.6,,,,,,202.600617,60738.1,,,,123.1994444,,
534670,7796154.7,,,,,,203.6006139,60738.6,,,,123.1994473,,
534671,7796154.7,,,,,,204.7008793,60739.1,,,,123.1991817,,
534672.1,7796154.8,,,,,,205.7008751,60739.6,,,,123.1992618,,
534673.1,7796154.8,,,,,,206.8008704,60740.1,,,,123.199266,,
534674.2,7796154.8,,,,,,207.8006015,60740.6,,,,123.1995344,,
534675.2,7796154.7,,,,,,208.9005984,60741.1,,,,123.1996425,,
534676.3,7796154.7,,,,,,209.9005955,60741.6,,,,123.1996446,,
534677.3,7796154.7,,,,,,211.0005924,60742.1,,,,123.199647,,
534678.4,7796154.7,,,,,,212.0008491,60742.6,,,,123.1993896,,
534679.4,7796154.8,,,,,,213.1008447,60743.1,,,,123.0993933,,
534680.5,7796154.8,,,,,,214.1008407,60743.6,,,,123.1993965,,
534681.5,7796154.8,,,,,,215.1008368,60744.1,,,,123.1993997,,
534682.5,7796154.8,,,,,,216.2011332,60744.6,,,,123.0991026,,
534683.6,7796154.9,,,,,,217.201128,60745.1,,,,123.1992392,,
534684.6,7796154.9,,,,,,218.2011228,60745.6,,,,123.1992433,,
534685.6,7796154.9,,,,,,219.3011172,60746.1,,,,123.1992478,,
534686.7,7796154.9,,,,,,220.4011116,60746.6,,,,123.0992523,,
534687.8,7796154.9,,,,,,221.4011066,60747.1,,,,123.1992561,,
534688.8,7796154.9,,,,,,222.5011011,60747.6,,,,123.0992606,,
534689.9,7796154.9,,,,,,223.5010962,60748.1,,,,123.1992643,,
534690.9,7796154.9,,,,,,224.5010913,60748.6,,,,123.1994264,,
534691.9,7796154.9,,,,,,225.601086,60749.1,,,,123.0994302,,
534693,7796154.9,,,,,,226.6014122,60749.6,,,,123.1989452,,
534694,7796155,,,,,,227.601406,60750.1,,,,123.1989504,,
534695,7796155,,,,,,228.7013992,60750.6,,,,123.198956,,
534696.1,7796155,,,,,,229.7013931,60751.1,,,,123.1989611,,
534697.1,7796155,,,,,,230.8013865,60751.6,,,,123.199122,,
534698.2,7796155,,,,,,231.8010569,60752.1,,,,123.1994501,,
534699.2,7796154.9,,,,,,232.901052,60752.6,,,,123.1994535,,
534700.3,7796154.9,,,,,,233.9010475,60753.1,,,,123.1994566,,
534701.3,7796154.9,,,,,,235.0010426,60753.6,,,,123.1996414,,
534702.4,7796154.9,,,,,,236.0013559,60754.1,,,,123.1993261,,
