Time,File,Total,bearded seal,beluga,Unknown,bowhead,Boating,minke,Walrus,
04-Oct-07 08:37:01,shell-367F0959.a28..1191487021.2007-10-04-08-37-01.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 09:10:45,shell-367F0960.a28..1191489045.2007-10-04-09-10-45.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 09:44:27,shell-367F0961.a28..1191491067.2007-10-04-09-44-27.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 10:18:08,shell-367F0962.a28..1191493088.2007-10-04-10-18-08.wav_chan0.xml,0,0,0,0,0,0,
04-Oct-07 10:51:50,shell-367F0963.a28..1191495110.2007-10-04-10-51-50.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 11:25:32,shell-367F0964.a28..1191497132.2007-10-04-11-25-32.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 11:59:13,shell-367F0965.a28..1191499153.2007-10-04-11-59-13.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 12:32:55,shell-367F0966.a28..1191501175.2007-10-04-12-32-55.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 13:06:36,shell-367F0967.a28..1191503196.2007-10-04-13-06-36.wav_chan0.xml,12,2,0,3,7,0,0,0,
04-Oct-07 13:40:18,shell-367F0968.a28..1191505218.2007-10-04-13-40-18.wav_chan0.xml,3,2,0,1,0,0,0,0,
04-Oct-07 14:14:01,shell-367F0969.a28..1191507241.2007-10-04-14-14-01.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 14:47:44,shell-367F0970.a28..1191509264.2007-10-04-14-47-44.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 15:21:28,shell-367F0971.a28..1191511288.2007-10-04-15-21-28.wav_chan0.xml,0,0,0,0,0,0,0,
04-Oct-07 15:55:12,shell-367F0972.a28..1191513312.2007-10-04-15-55-12.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 16:28:57,shell-367F0973.a28..1191515337.2007-10-04-16-28-57.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 17:02:41,shell-367F0974.a28..1191517361.2007-10-04-17-02-41.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 17:36:25,shell-367F0975.a28..1191519385.2007-10-04-17-36-25.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 18:10:07,shell-367F0976.a28..1191521407.2007-10-04-18-10-07.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 18:43:48,shell-367F0977.a28..1191523428.2007-10-04-18-43-48.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 19:17:30,shell-367F0978.a28..1191525450.2007-10-04-19-17-30.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 19:51:12,shell-367F0979.a28..1191527472.2007-10-04-19-51-12.wav_chan0.xml,0,0,0,0,0,0,0,0,
