Time,File,Total,Unknown,bowhead,bearded seal,beluga,Boating,minke,Walrus,
03-Oct-07 03:54:17,shell-00EA0872.a26..1191383657.2007-10-03-03-54-17.wav_chan0.xml,1,0,0,1,0,0,0,0,
03-Oct-07 04:28:09,shell-00EA0873.a26..1191385689.2007-10-03-04-28-09.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 05:02:02,shell-00EA0874.a26..1191387722.2007-10-03-05-02-02.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 05:35:55,shell-00EA0875.a26..1191389755.2007-10-03-05-35-55.wav_chan0.xml,2,0,1,1,0,0,0,0,
03-Oct-07 06:09:49,shell-00EA0876.a26..1191391789.2007-10-03-06-09-49.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 06:43:43,shell-00EA0877.a26..1191393823.2007-10-03-06-43-43.wav_chan0.xml,5,0,0,5,0,0,0,0,
03-Oct-07 07:17:37,shell-00EA0878.a26..1191395857.2007-10-03-07-17-37.wav_chan0.xml,5,0,0,5,0,0,0,0,
03-Oct-07 07:51:31,shell-00EA0879.a26..1191397891.2007-10-03-07-51-31.wav_chan0.xml,4,0,1,3,0,0,0,0,
03-Oct-07 08:25:23,shell-00EA0880.a26..1191399923.2007-10-03-08-25-23.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 08:59:14,shell-00EA0881.a26..1191401954.2007-10-03-08-59-14.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 09:33:05,shell-00EA0882.a26..1191403985.2007-10-03-09-33-05.wav_chan0.xml,16,15,1,0,0,0,0,0,
03-Oct-07 10:06:57,shell-00EA0883.a26..1191406017.2007-10-03-10-06-57.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 10:40:48,shell-00EA0884.a26..1191408048.2007-10-03-10-40-48.wav_chan0.xml,1,1,0,0,0,0,0,0,
03-Oct-07 11:14:40,shell-00EA0885.a26..1191410080.2007-10-03-11-14-40.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 11:48:31,shell-00EA0886.a26..1191412111.2007-10-03-11-48-31.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 12:22:23,shell-00EA0887.a26..1191414143.2007-10-03-12-22-23.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 12:56:14,shell-00EA0888.a26..1191416174.2007-10-03-12-56-14.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 13:30:06,shell-00EA0889.a26..1191418206.2007-10-03-13-30-06.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 14:03:59,shell-00EA0890.a26..1191420239.2007-10-03-14-03-59.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 14:37:52,shell-00EA0891.a26..1191422272.2007-10-03-14-37-52.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 15:11:46,shell-00EA0892.a26..1191424306.2007-10-03-15-11-46.wav_chan0.xml,2,0,2,0,0,0,0,0,
03-Oct-07 15:45:40,shell-00EA0893.a26..1191426340.2007-10-03-15-45-40.wav_chan0.xml,0,0,0,0,0,0,0,0,
